"date","email_count","engaged_count","active_count","passive_count","disengaged_count","dormant_count","new_count","optout_count","hardbounce_count","spam_count","lists_count"
"2018-10-27",551,1,0,1,40,14,8,483,4,0,2706
"2018-10-28",551,1,0,1,40,14,8,483,4,0,2706
"2018-10-29",553,1,0,1,40,14,10,483,4,0,2708
"2018-10-30",553,1,0,1,40,14,10,483,4,0,2708
"2018-10-31",554,2,0,1,40,13,11,483,4,0,2709
"2018-11-01",554,2,0,1,40,13,11,483,4,0,2709
"2018-11-02",555,2,0,1,40,13,12,483,4,0,2710
"2018-11-03",556,2,0,2,39,13,13,483,4,0,2711
"2018-11-04",556,2,0,2,39,13,13,483,4,0,2711
"2018-11-05",557,2,0,2,39,13,14,483,4,0,2712
"2018-11-06",557,2,0,2,39,13,14,483,4,0,2712
"2018-11-07",557,2,0,2,39,13,14,483,4,0,2712
"2018-11-08",558,2,0,2,39,14,14,483,4,0,2713
"2018-11-09",561,2,0,2,39,14,17,483,4,0,2718
"2018-11-10",562,1,1,2,39,14,18,483,4,0,2719
"2018-11-11",562,1,1,2,39,14,18,483,4,0,2719
"2018-11-12",563,1,1,2,39,14,19,483,4,0,2720
"2018-11-13",563,2,0,2,39,14,19,483,4,0,2720
"2018-11-14",564,2,0,2,39,14,20,483,4,0,2721
"2018-11-15",565,2,0,2,39,14,21,483,4,0,2722
"2018-11-16",565,2,0,2,39,14,21,483,4,0,2722
"2018-11-17",566,2,0,2,39,14,22,483,4,0,2723
"2018-11-18",568,2,0,2,39,15,23,483,4,0,2725
"2018-11-19",568,2,0,2,39,16,22,483,4,0,2725
"2018-11-20",568,1,1,2,39,16,22,483,4,0,2725
"2018-11-21",569,1,1,2,39,16,23,483,4,0,2726
"2018-11-22",570,2,0,2,39,18,22,483,4,0,2727
"2018-11-23",571,2,0,2,39,19,22,483,4,0,2728
"2018-11-24",572,2,0,2,39,20,22,483,4,0,2729
"2018-11-25",573,2,0,2,39,20,23,483,4,0,2730